Module                  Size  Used by
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
btbcm                  24576  1 btusb
aesni_intel           122880  3
spi_nor               163840  0
dell_smbios            36864  3 dell_wmi,dell_pc,dell_laptop
iwlwifi               659456  1 iwlmvm
ee1004                 16384  0
nls_iso8859_1          12288  1
videodev              360448  2 videobuf2_v4l2,uvcvideo
mei_pxp                16384  0
mei_hdcp               28672  0
btmtk                  36864  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_device_pci_legacy    12288  0
crypto_simd            16384  1 aesni_intel
nvidia              14376960  31 nvidia_uvm,nvidia_modeset
mtd                    98304  3 spi_nor,cmdlinepart
intel_rapl_msr         20480  0
dcdbas                 20480  1 dell_smbios
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
mei_me                 53248  2
dell_wmi_sysman        49152  0
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
i915                 4702208  22
i2c_i801               36864  0
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
processor_thermal_wt_hint    16384  1 processor_thermal_device
rapl                   20480  0
intel_cstate           20480  0
dell_smm_hwmon         36864  0
firmware_attributes_class    12288  1 dell_wmi_sysman
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
dell_wmi_descriptor    20480  2 dell_wmi,dell_smbios
snd                   143360  25 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
wmi_bmof               12288  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
i2c_smbus              20480  1 i2c_i801
processor_thermal_rfim    40960  1 processor_thermal_device
soundcore              16384  2 snd_ctl_led,snd
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
drm_ttm_helper         16384  2 nvidia_drm,xe
spi_intel_pci          12288  0
i2c_mux                16384  1 i2c_i801
drm_buddy              24576  2 xe,i915
spi_intel              36864  1 spi_intel_pci
processor_thermal_rapl    16384  1 processor_thermal_device
ttm                   118784  3 drm_ttm_helper,xe,i915
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
drm_display_helper    278528  2 xe,i915
processor_thermal_wt_req    12288  1 processor_thermal_device
int3403_thermal        16384  0
cec                    94208  3 drm_display_helper,xe,i915
processor_thermal_power_floor    12288  1 processor_thermal_device
rc_core                73728  1 cec
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_pmc_core        122880  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
i2c_algo_bit           16384  2 xe,i915
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
igen6_edac             28672  0
intel_hid              32768  0
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
sparse_keymap          12288  2 intel_hid,dell_wmi
pmt_class              16384  1 pmt_telemetry
intel_vsec             20480  2 intel_pmc_core,xe
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
input_leds             12288  0
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_sensor_custom      28672  0
hid_sensor_hub         28672  1 hid_sensor_custom
intel_ishtp_hid        32768  0
nvme                   61440  3
nvme_core             225280  4 nvme
nvme_auth              28672  1 nvme_core
ahci                   49152  0
hid_multitouch         36864  0
libahci                53248  1 ahci
hid_generic            12288  0
ucsi_acpi              12288  0
intel_lpss_pci         28672  0
i2c_hid_acpi           12288  0
video                  77824  5 dell_wmi,dell_laptop,xe,i915,nvidia_modeset
intel_ish_ipc          36864  0
intel_lpss             12288  1 intel_lpss_pci
typec_ucsi             65536  1 ucsi_acpi
psmouse               217088  0
i2c_hid                40960  1 i2c_hid_acpi
thunderbolt           536576  0
idma64                 20480  0
vmd                    24576  0
intel_ishtp            73728  2 intel_ishtp_hid,intel_ish_ipc
typec                 118784  1 typec_ucsi
hid                   262144  5 i2c_hid,hid_multitouch,hid_sensor_hub,intel_ishtp_hid,hid_generic
wmi                    28672  7 dell_wmi_sysman,video,dell_wmi,wmi_bmof,dell_smm_hwmon,dell_smbios,dell_wmi_descriptor
pinctrl_tigerlake      28672  1
